Accuracy
5.218411688999924358e-01
5.147632869582624560e-01
5.290772809511501418e-01
5.312173003139170069e-01
5.318339100346021198e-01
5.405777166437414349e-01
5.342253248012410749e-01
5.339237251821168373e-01
5.489840348330914388e-01
5.580553116769095823e-01
5.626638699528054843e-01
5.664292980671413735e-01
5.850837138508371282e-01
5.777868936519331422e-01
5.875593041644702197e-01
5.929632020658489600e-01
6.015759930915370868e-01
6.099118942731277526e-01
6.241588527302812661e-01
6.142026122269783617e-01
6.250697622502511264e-01
6.296873261377545772e-01
6.362706083001705704e-01
6.401911697769685494e-01
6.409232134931203140e-01
6.362912400455063011e-01
6.529989833954591427e-01
6.472606656753974175e-01
6.482758620689654805e-01
6.618648799553321638e-01
6.600199401794616394e-01
6.570086139389192947e-01
6.606784199955366699e-01
6.667384515990093519e-01
6.707264496658762454e-01
6.725090291055874081e-01
6.852737905369484794e-01
6.770855557926178658e-01
6.839389152185361143e-01
6.833281266270957444e-01
6.968695113131522234e-01
6.945951585976627429e-01
6.996562141889780539e-01
7.013256006628003636e-01
7.051622117935115730e-01
7.073692793802874856e-01
7.188042036526884893e-01
7.240040858018386150e-01
7.256208358570562789e-01
7.361041057197619253e-01
7.386039886039885705e-01
7.450642907765515632e-01
7.525909368014631617e-01
7.495261845386533839e-01
7.529435647584247215e-01
7.520358306188924535e-01
7.552820512820512810e-01
7.593523732904263746e-01
7.662616154395996970e-01
7.756950952827241785e-01
7.641490228013029240e-01
7.708078335373317325e-01
7.785583384239462834e-01
7.839657282741737676e-01
7.887626650291679198e-01
7.949643999587245879e-01
7.866556836902800498e-01
7.986886589488781940e-01
8.055865921787709327e-01
8.094110378912685588e-01
8.187597707139134817e-01
8.221124150710314993e-01
8.288826055084301814e-01
8.327591606639523913e-01
8.400530774726957528e-01
8.542899408284023721e-01
8.517659462308908580e-01
8.526238608987116718e-01
8.620835090679038748e-01
8.596858638743455350e-01
8.726425090061453727e-01
8.809396117129679737e-01
8.840519045625785388e-01
8.923142340810035211e-01
8.863323083448202411e-01
9.003396306516663339e-01
9.073018604150984157e-01
9.134000852151682448e-01
9.179080484406816343e-01
9.194558410710429452e-01
9.263680540883161285e-01
9.324650771977733843e-01
9.335730907552358682e-01
9.329028021015761674e-01
9.430568285976168585e-01
9.466508595139300208e-01
9.659145463274123600e-01
9.735437972432191556e-01
9.844048376830044633e-01
9.816320807627594291e-01
9.897854954034729369e-01
