Feature,Importance,FeatureName
f528,1883.0,8_championStats_abilityPower
f607,1874.0,9_championStats_powerMax
f612,1871.0,9_damageStats_magicDamageDoneToChampions
f552,1863.0,8_currentGold
f148,1862.0,1_damageStats_magicDamageDoneToChampions
f320,1862.0,4_currentGold
f660,1852.0,10_championStats_magicResist
f359,1848.0,5_championStats_attackSpeed
f422,1846.0,6_championStats_health
f482,1841.0,7_championStats_healthRegen
f151,1840.0,1_damageStats_physicalDamageDoneToChampions
f158,1835.0,1_damageStats_trueDamageTaken
f420,1833.0,6_championStats_ccReduction
f266,1830.0,3_damageStats_physicalDamageDone
f688,1829.0,10_timeEnemySpentControlled
f349,1822.0,4_perk3
f436,1820.0,6_currentGold
f523,1803.0,7_perk3
f192,1790.0,2_championStats_healthRegen
f300,1790.0,4_championStats_attackDamage
f398,1790.0,5_timeEnemySpentControlled
f590,1790.0,9_championStats_attackDamage
f694,1778.0,10_runeOffense
f610,1773.0,9_currentGold
f273,1762.0,3_damageStats_trueDamageDoneToChampions
f286,1735.0,3_runeDefense
f538,1732.0,8_championStats_health
f382,1731.0,5_damageStats_physicalDamageDone
f248,1718.0,3_championStats_health
f322,1710.0,4_damageStats_magicDamageDoneToChampions
f378,1710.0,5_currentGold
f190,1707.0,2_championStats_health
f209,1706.0,2_damageStats_physicalDamageDoneToChampions
f206,1702.0,2_damageStats_magicDamageDoneToChampions
f639,1702.0,9_perk3
f428,1693.0,6_championStats_magicResist
f180,1692.0,2_championStats_abilityPower
f672,1663.0,10_damageStats_physicalDamageDone
f274,1662.0,3_damageStats_trueDamageTaken
f608,1655.0,9_championStats_powerRegen
f596,1654.0,9_championStats_health
f556,1650.0,8_damageStats_physicalDamageDone
f197,1649.0,2_championStats_movementSpeed
f480,1643.0,7_championStats_health
f139,1632.0,1_championStats_movementSpeed
f413,1624.0,6_championStats_armor
f149,1623.0,1_damageStats_magicDamageTaken
f645,1615.0,10_championStats_armor
f622,1607.0,9_damageStats_trueDamageTaken
f306,1583.0,4_championStats_health
f441,1582.0,6_damageStats_physicalDamageDoneToChampions
f496,1565.0,7_damageStats_magicDamageDoneToChampions
f563,1556.0,8_damageStats_trueDamageDoneToChampions
f390,1551.0,5_damageStats_trueDamageTaken
f460,1548.0,6_runeDefense
f332,1543.0,4_damageStats_trueDamageTaken
f518,1540.0,7_runeDefense
f438,1539.0,6_damageStats_magicDamageDoneToChampions
f208,1534.0,2_damageStats_physicalDamageDone
f230,1529.0,2_runeOffense
f246,1523.0,3_championStats_ccReduction
f263,1523.0,3_damageStats_magicDamageDone
f499,1514.0,7_damageStats_physicalDamageDoneToChampions
f379,1506.0,5_damageStats_magicDamageDone
f171,1495.0,1_runeFlex
f447,1493.0,6_damageStats_trueDamageDoneToChampions
f364,1483.0,5_championStats_health
f669,1483.0,10_damageStats_magicDamageDone
f288,1479.0,3_runeOffense
f470,1473.0,7_championStats_abilityPower
f429,1468.0,6_championStats_movementSpeed
f654,1467.0,10_championStats_health
f318,1463.0,4_championStats_powerRegen
f487,1461.0,7_championStats_movementSpeed
f564,1459.0,8_damageStats_trueDamageTaken
f576,1450.0,8_runeDefense
f553,1448.0,8_damageStats_magicDamageDone
f412,1441.0,6_championStats_abilityPower
f264,1432.0,3_damageStats_magicDamageDoneToChampions
f545,1415.0,8_championStats_movementSpeed
f403,1395.0,5_runeFlex
f181,1385.0,2_championStats_armor
f255,1383.0,3_championStats_movementSpeed
f140,1379.0,1_championStats_omnivamp
f448,1377.0,6_damageStats_trueDamageTaken
f389,1374.0,5_damageStats_trueDamageDoneToChampions
f402,1374.0,5_runeDefense
f196,1373.0,2_championStats_magicResist
f680,1369.0,10_damageStats_trueDamageTaken
f362,1359.0,5_championStats_ccReduction
f498,1357.0,7_damageStats_physicalDamageDone
f536,1357.0,8_championStats_ccReduction
f371,1344.0,5_championStats_movementSpeed
f679,1334.0,10_damageStats_trueDamageDoneToChampions
f578,1333.0,8_runeOffense
f462,1331.0,6_runeOffense
f216,1323.0,2_damageStats_trueDamageTaken
f150,1322.0,1_damageStats_physicalDamageDone
f661,1319.0,10_championStats_movementSpeed
f506,1302.0,7_damageStats_trueDamageTaken
f215,1290.0,2_damageStats_trueDamageDoneToChampions
f554,1290.0,8_damageStats_magicDamageDoneToChampions
f652,1287.0,10_championStats_ccReduction
f603,1267.0,9_championStats_movementSpeed
f439,1251.0,6_damageStats_magicDamageTaken
f313,1250.0,4_championStats_movementSpeed
f693,1250.0,10_runeFlex
f520,1246.0,7_runeOffense
f239,1243.0,3_championStats_armor
f133,1240.0,1_championStats_healthMax
f265,1230.0,3_damageStats_magicDamageTaken
f380,1228.0,5_damageStats_magicDamageDoneToChampions
f440,1206.0,6_damageStats_physicalDamageDone
f692,1205.0,10_runeDefense
f394,1201.0,5_minionsKilled
f486,1198.0,7_championStats_magicResist
f670,1198.0,10_damageStats_magicDamageDoneToChampions
f471,1180.0,7_championStats_armor
f684,1148.0,10_minionsKilled
f555,1134.0,8_damageStats_magicDamageTaken
f188,1132.0,2_championStats_ccReduction
f325,1108.0,4_damageStats_physicalDamageDoneToChampions
f505,1108.0,7_damageStats_trueDamageDoneToChampions
f308,1099.0,4_championStats_healthRegen
f214,1093.0,2_damageStats_trueDamageDone
f478,1093.0,7_championStats_ccReduction
f615,1080.0,9_damageStats_physicalDamageDoneToChampions
f598,1077.0,9_championStats_healthRegen
f381,1067.0,5_damageStats_magicDamageTaken
f323,1052.0,4_damageStats_magicDamageTaken
f504,1046.0,7_damageStats_trueDamageDone
f220,1039.0,2_minionsKilled
f529,1038.0,8_championStats_armor
f604,996.0,9_championStats_omnivamp
f331,995.0,4_damageStats_trueDamageDoneToChampions
f314,991.0,4_championStats_omnivamp
f152,989.0,1_damageStats_physicalDamageTaken
f613,981.0,9_damageStats_magicDamageTaken
f423,973.0,6_championStats_healthMax
f268,972.0,3_damageStats_physicalDamageTaken
f510,971.0,7_minionsKilled
f385,967.0,5_damageStats_totalDamageDone
f621,962.0,9_damageStats_trueDamageDoneToChampions
f671,948.0,10_damageStats_magicDamageTaken
f207,936.0,2_damageStats_magicDamageTaken
f79,931.0,timestamp
f386,924.0,5_damageStats_totalDamageDoneToChampions
f539,893.0,8_championStats_healthMax
f154,885.0,1_damageStats_totalDamageDoneToChampions
f675,881.0,10_damageStats_totalDamageDone
f344,874.0,4_runeDefense
f461,866.0,6_runeFlex
f249,864.0,3_championStats_healthMax
f384,858.0,5_damageStats_physicalDamageTaken
f558,854.0,8_damageStats_physicalDamageTaken
f676,826.0,10_damageStats_totalDamageDoneToChampions
f430,817.0,6_championStats_omnivamp
f442,805.0,6_damageStats_physicalDamageTaken
f212,800.0,2_damageStats_totalDamageDoneToChampions
f324,800.0,4_damageStats_physicalDamageDone
f341,784.0,4_totalGold
f674,784.0,10_damageStats_physicalDamageTaken
f497,763.0,7_damageStats_magicDamageTaken
f326,760.0,4_damageStats_physicalDamageTaken
f328,757.0,4_damageStats_totalDamageDoneToChampions
f191,745.0,2_championStats_healthMax
f346,744.0,4_runeOffense
f225,738.0,2_totalGold
f218,735.0,2_jungleMinionsKilled
f614,729.0,9_damageStats_physicalDamageDone
f312,717.0,4_championStats_magicResist
f444,714.0,6_damageStats_totalDamageDoneToChampions
