correct,count
0.47874598823214765,119648.0
0.49446413358491337,3043697.0
0.4943557856414453,1126729.0
0.4987848956984074,486378.0
0.5105505622387503,407656.0
0.5229037597965107,445822.0
0.5261349639125757,589402.0
0.5307722569485641,800705.0
0.5393200655119361,1007450.0
0.5507623622302225,1130237.0
0.5610104116388547,1183003.0
0.5681116652255224,1193496.0
0.5738867750567622,1188731.0
0.5818441414885778,1172448.0
0.5880751263783419,1167526.0
0.5951621328751333,1158155.0
0.6003532850359176,1145817.0
0.6040712023627057,1133277.0
0.6095832964889293,1119573.0
0.6122561234405943,1114447.0
0.6136869437888524,1099515.0
0.6191941081642601,1095482.0
0.620922390904571,1088107.0
0.6208563428017928,1088139.0
0.6236300927719065,1084380.0
0.6258485745420275,1086528.0
0.6299789489926376,1088784.0
0.6327703356434672,1090413.0
0.6337984355102784,1099400.0
0.6385665986371152,1104422.0
0.6416841664493295,1108109.0
0.6432795460868056,1117923.0
0.6464191470646653,1127776.0
0.6478996390876731,1128806.0
0.6511142657839022,1143982.0
0.6541255826792841,1148359.0
0.6582133042123622,1159302.0
0.6621611429648866,1166790.0
0.665407294038979,1175453.0
0.6685668014821221,1179390.0
0.6717801257640623,1183804.0
0.6776051664022426,1189377.0
0.6803445312114246,1194899.0
0.6830332033154153,1200091.0
0.6869293590819573,1199857.0
0.6904718887317897,1206598.0
0.6977148100860473,1208521.0
0.6991642258274362,1211332.0
0.7015434037421701,1211543.0
0.70498587050412,1210942.0
0.7083631831762434,1211620.0
0.7106434048081028,1213202.0
0.7141882493429681,1209226.0
0.7183390649274319,1211414.0
0.722427736038366,1212949.0
0.7265381983584177,1210052.0
0.7289121938466528,1208708.0
0.731662833640609,1210097.0
0.7343936703930618,1209301.0
0.738286534806318,1204810.0
0.74059934247039,1205421.0
0.7450845250452095,1207157.0
0.7480055107445401,1204193.0
0.7534133678562849,1198816.0
0.7565009726390941,1196744.0
0.7603358331161062,1196904.0
0.765095735797508,1193963.0
0.7693221517555692,1193630.0
0.774972942000382,1193732.0
0.7793369835439085,1194269.0
0.7856506384819205,1190715.0
0.791386717712835,1186377.0
0.7970770475846573,1182503.0
0.8032737200765877,1184524.0
0.808577174109572,1178057.0
0.8138906822429032,1175637.0
0.8197160442496575,1173704.0
0.8241155229716854,1169222.0
0.8306616545623027,1162253.0
0.8352869221392852,1160855.0
0.8421436869152128,1156083.0
0.8486005949161709,1153776.0
0.8548288322456841,1149574.0
0.8595718563916843,1148680.0
0.8653871180460027,1144935.0
0.8707174876864596,1138584.0
0.876934926542191,1134733.0
0.8836200043106647,1132076.0
0.8903035581473819,1132106.0
0.8963877640527216,1135474.0
0.9028844979219416,1137841.0
0.9084859636922465,1137443.0
0.9127461973371921,1138873.0
0.9168982537456402,1120169.0
0.9218115980422069,1094702.0
0.9289928912151753,1077540.0
0.941916049786243,1076924.0
0.9565283569734165,1123445.0
0.964332701377035,1185736.0
0.9631089697294843,969260.0
